ij_app, ji_app, ij_inp, ji_inp,
0, 0, 0, 0,
0, 0, 0.001, 0,
0.001, 0.001, 0.001, 0.001,
0.004, 0.002, 0.022, 0.003,
0.005, 0.003, 0.004, 0.004,
0.008, 0.005, 0.006, 0.006,
0.06, 0.008, 0.01, 0.009,
0.018, 0.013, 0.013, 0.031,
0.02, 0.016, 0.021, 0.017,
0.026, 0.018, 0.021, 0.021,
0.033, 0.07, 0.065, 0.077,
0.035, 0.031, 0.032, 0.037,
0.037, 0.042, 0.051, 0.061,
0.057, 0.088, 0.101, 0.068,
0.049, 0.049, 0.066, 0.058,
0.055, 0.058, 0.092, 0.07,
0.059, 0.065, 0.087, 0.072,
0.068, 0.075, 0.091, 0.132,
0.081, 0.098, 0.131, 0.101,
0.088, 0.108, 0.128, 0.18,
0.119, 0.13, 0.128, 0.206,
0.135, 0.113, 0.126, 0.24,
0.291, 0.152, 0.185, 0.281,
0.165, 0.223, 0.285, 0.155,
0.225, 0.316, 0.45, 0.328,
0.14, 0.166, 0.243, 0.404,
0.206, 0.217, 0.203, 0.28,
0.17, 0.28, 0.249, 0.224,
0.269, 0.391, 0.494, 0.295,
0.571, 0.696, 0.354, 0.347,
0.157, 0.463, 0.274, 0.32,
0.255, 0.546, 0.273, 0.238,
0.363, 0.489, 0.342, 0.259,
0.27, 0.763, 0.498, 0.433,
0.504, 0.637, 0.522, 0.404,
0.378, 0.663, 0.413, 0.328,
0.316, 0.717, 0.376, 0.421,
0.394, 0.803, 1.062, 0.876,
0.595, 0.784, 0.459, 0.497,
0.496, 0.833, 0.539, 0.49,
0.743, 0.746, 0.647, 0.575,
0.73, 0.814, 0.677, 0.633,
0.63, 0.951, 0.773, 0.81,
1.112, 1.83, 1.883, 0.812,
0.939, 1.121, 1.412, 0.837,
1.038, 1.178, 0.863, 0.811,
1.05, 0.981, 0.965, 2.123,
2.578, 1.23, 1.446, 0.88,
1.31, 1.164, 1.059, 0.973,
1.356, 1.207, 1.158, 1.942,
2.479, 2.003, 1.567, 1.069,
1.001, 2.612, 6.736, 7.234,
1.614, 1.46, 1.407, 1.128,
2.055, 2.787, 3.025, 1.934,
1.5, 1.597, 1.545, 1.193,
1.693, 2.665, 2.545, 1.445,
1.828, 1.774, 1.655, 1.32,
1.732, 1.754, 3.059, 1.586,
1.807, 1.719, 1.877, 1.479,
1.711, 1.873, 3.288, 3.509,
2.033, 1.881, 2.033, 1.665,
2.134, 3.177, 3.5, 1.89,
2.043, 2.071, 2.354, 3.356,
3.698, 2.182, 2.637, 1.92,
2.45, 2.779, 4.96, 2.134,
2.556, 2.269, 3.094, 3.941,
4.658, 2.392, 3.309, 2.475,
4.28, 2.7, 3.138, 3.505,
2.33, 4.473, 11.191, 7.891,
3.807, 2.656, 3.204, 3.504,
5.596, 2.791, 3.563, 2.783,
6.252, 2.721, 3.386, 2.742,
7.154, 2.899, 3.48, 2.751,
5.581, 3.414, 3.641, 3.094,
3.965, 4.638, 3.771, 3.308,
3.281, 5.07, 4.346, 3.504,
4.051, 4.914, 4.198, 3.9,
5.191, 4.338, 4.246, 3.509,
6.374, 3.621, 4.308, 4.716,
5.625, 3.638, 4.829, 6.234,
4.789, 4.004, 6.766, 6.132,
7.236, 5.57, 6.118, 8.49,
5.828, 3.811, 5.785, 6.44,
4.795, 4.583, 7.811, 5.127,
5.972, 4.589, 5.06, 5.592,
6.357, 4.788, 6.658, 5.26,
4.742, 5.044, 7.208, 5.032,
7.402, 4.457, 5.581, 8.676,
6.075, 6.794, 7.332, 6.727,
8.291, 9.051, 11.138, 11.382,
6.354, 7.585, 5.882, 4.333,
7.194, 5.332, 7.193, 8.036,
5.569, 7.355, 6.253, 6.698,
6.871, 5.423, 8.465, 5.936,
12.169, 11.556, 11.996, 12.146,
8.643, 5.791, 7.331, 7.411,
7.316, 9.009, 6.428, 8.014,
7.927, 8.394, 7.332, 9.829,
8.99, 8.212, 7.66, 7.3,
9.522, 8.32, 8.598, 8.122,
