ij_app, ji_app, ij_inp, ji_inp,
153.373, 98.248, 123.584, 123.709,
115.23, 77.558, 86.791, 97.456,
154.292, 159.207, 120.615, 133.522,
136.3, 113.87, 143.163, 100.112,
146.178, 112.109, 153.765, 133.662,
132.288, 80.881, 135.099, 126.791,
175.479, 122.624, 123.553, 109.605,
116.815, 86.046, 141.392, 117.714,
180.654, 92.059, 116.828, 143.869,
126.898, 108.88, 118.797, 103.98,
181.076, 144.649, 130.759, 116.664,
134.044, 95.083, 136.189, 165.433,
147.646, 151.852, 185.583, 141.398,
120.898, 100.926, 165.441, 169.956,
160.357, 162.159, 156.067, 102.691,
159.167, 152.108, 159.463, 109.275,
133.34, 131.425, 128.037, 98.814,
166.742, 155.377, 191.463, 123.857,
188.955, 116.894, 171.791, 153.301,
135.033, 140.928, 132.901, 102.974,
136.465, 140.787, 179.612, 140.73,
163.25, 126.806, 137.788, 104.651,
137.64, 129.667, 153.766, 137.534,
141.022, 142.604, 133.619, 123.296,
175.58, 145.389, 227.835, 159.083,
138.165, 134.063, 219.035, 176.053,
151.028, 135.403, 174.918, 123.377,
197.062, 131.097, 235.513, 193.379,
146.469, 132.77, 203.265, 193.592,
208.12, 160.3, 148.585, 195.608,
193.306, 161.219, 171.501, 171.244,
158.904, 172.668, 181.62, 234.83,
169.547, 121.369, 147.482, 145.049,
200.762, 182.511, 148.333, 163.636,
159.683, 202.204, 203.333, 181.791,
190.738, 119.071, 141.394, 181.542,
213.888, 184.233, 176.982, 138.255,
201.237, 217.659, 216.336, 164.032,
183.985, 155.746, 227.109, 181.99,
229.212, 171.817, 162.103, 189.794,
184.206, 184.476, 231.269, 184.595,
239.937, 175.309, 214.278, 162.263,
178.916, 183.764, 227.048, 234.57,
198.633, 150.204, 232.349, 173.124,
169.606, 195.571, 189.296, 166.817,
216.7, 180.048, 227.76, 203.798,
249.115, 196.527, 245.262, 158.989,
159.02, 180.487, 261.571, 182.555,
193.151, 145.514, 182.99, 233.716,
260.301, 155.484, 175.256, 190.946,
230.713, 242.975, 188.065, 176.497,
203.734, 228.358, 245.188, 156.043,
220.318, 272.874, 252.141, 208.001,
211.865, 299.488, 260.497, 210.086,
242.539, 283.62, 210.406, 191.24,
248.331, 162.235, 292.411, 232.278,
233.006, 180.54, 263.557, 274.381,
271.076, 219.012, 282.506, 261.276,
261.687, 196.291, 235.706, 238.782,
251.742, 171.301, 243.988, 228.552,
216.893, 233.014, 251.213, 252.568,
214.331, 240.636, 234.937, 287.849,
293.569, 243.657, 251.745, 282.104,
310.297, 193.853, 219.407, 242.925,
312.566, 195.239, 234.035, 316.658,
274.311, 208.15, 332.893, 219.668,
242.365, 244.681, 333.922, 288.536,
220.788, 225.557, 284.919, 316.927,
247.317, 220.531, 270.245, 267.46,
283.391, 221.128, 302.276, 271.919,
270.735, 305.191, 314.843, 302.291,
309.468, 325.626, 313.637, 371.831,
403.511, 304.686, 324.34, 303.328,
354.225, 314.278, 308.021, 273.154,
354.272, 313.548, 319.367, 309.65,
339.339, 268.976, 265.141, 308.069,
323.982, 408.156, 423.013, 319.157,
330.449, 365.499, 286.701, 399.638,
348.61, 279.719, 294.47, 343.899,
347.915, 267.943, 340.661, 341.291,
291.523, 320.148, 286.171, 269.126,
337.922, 339.823, 284.723, 321.909,
323.187, 327.072, 373.096, 317.154,
358.697, 297.493, 351.123, 346.837,
359.229, 264.971, 353.632, 378.594,
384.653, 356.609, 421.602, 422.018,
442.395, 353.595, 361.596, 304.432,
406.277, 355.233, 407.541, 360.554,
439.314, 393.086, 311.303, 395.812,
433.792, 344.024, 357.706, 302.889,
322.493, 386.28, 428.068, 403.011,
