ij_app, ji_app, ij_inp, ji_inp,
0, 0, 0, 0,
0.001, 0, 0, 0.001,
0.003, 0.001, 0.002, 0.002,
0.004, 0.002, 0.003, 0.003,
0.008, 0.003, 0.004, 0.005,
0.015, 0.006, 0.007, 0.007,
0.016, 0.009, 0.01, 0.01,
0.058, 0.015, 0.015, 0.014,
0.023, 0.015, 0.017, 0.018,
0.027, 0.019, 0.023, 0.028,
0.042, 0.071, 0.077, 0.079,
0.055, 0.039, 0.04, 0.032,
0.04, 0.041, 0.21, 0.065,
0.045, 0.049, 0.05, 0.051,
0.062, 0.046, 0.061, 0.07,
0.147, 0.08, 0.199, 0.104,
0.074, 0.085, 0.094, 0.105,
0.078, 0.088, 0.124, 0.155,
0.073, 0.088, 0.105, 0.09,
0.075, 0.105, 0.11, 0.171,
0.099, 0.113, 0.149, 0.107,
0.08, 0.112, 0.122, 0.142,
0.089, 0.174, 0.23, 0.238,
0.083, 0.367, 0.3, 0.255,
0.214, 0.314, 0.213, 0.194,
0.196, 0.298, 0.259, 0.18,
0.2, 0.32, 0.274, 0.194,
0.22, 0.256, 0.29, 0.299,
0.202, 0.594, 0.6, 0.81,
0.438, 1.492, 0.848, 0.442,
0.347, 0.367, 0.366, 0.693,
0.343, 0.685, 0.401, 0.27,
0.26, 0.458, 0.421, 0.322,
0.346, 0.653, 0.321, 0.361,
0.289, 0.625, 0.363, 0.36,
0.479, 0.451, 0.331, 0.363,
0.404, 0.586, 0.377, 0.397,
0.331, 0.711, 0.423, 0.494,
0.449, 0.712, 0.481, 0.468,
1.318, 1.118, 1.253, 0.613,
0.597, 0.831, 0.691, 0.529,
0.983, 0.793, 0.695, 0.636,
0.822, 0.786, 0.903, 0.698,
0.83, 0.884, 0.966, 1.079,
2.592, 1.72, 1.414, 0.799,
0.926, 1.128, 1.156, 0.981,
1.081, 1.011, 1.056, 0.862,
1.266, 1.903, 3.089, 1.201,
1.265, 1.234, 1.112, 0.969,
1.395, 1.164, 1.201, 0.966,
2.107, 2.895, 3.068, 1.416,
1.019, 2.568, 6.983, 6.289,
1.384, 1.543, 1.377, 1.075,
1.328, 2.448, 3.228, 1.219,
1.585, 1.483, 1.496, 1.166,
1.778, 1.47, 3.675, 3.374,
1.971, 1.684, 1.678, 1.245,
1.785, 2.662, 4.548, 1.985,
1.908, 1.743, 1.979, 1.459,
3.228, 2.845, 2.372, 1.721,
2.471, 1.872, 2.798, 1.847,
4.057, 2.921, 2.312, 1.641,
2.617, 1.981, 4.217, 2.958,
2.421, 2.454, 2.875, 1.913,
3.157, 4.001, 2.764, 2.882,
2.439, 2.549, 4.724, 2.601,
3.165, 2.359, 2.768, 4.69,
4.237, 2.669, 3.056, 2.723,
4.455, 4.126, 8.254, 6.538,
3.046, 2.513, 3.248, 5.398,
3.214, 2.756, 3.231, 3.944,
4.795, 2.594, 3.342, 3.035,
4.942, 2.798, 3.389, 2.897,
3.053, 4.101, 3.819, 3.39,
3.297, 3.364, 5.36, 3.318,
3.233, 3.097, 6.459, 3.718,
3.496, 3.918, 5.701, 3.537,
3.594, 6.16, 4.676, 3.579,
4.311, 4.774, 4.577, 4.242,
4.148, 4.525, 4.599, 4.454,
5.521, 4.525, 5.132, 4.152,
5.919, 3.942, 4.759, 6.055,
5.19, 3.922, 5.54, 6.22,
4.531, 4.415, 7.59, 4.662,
4.821, 5.627, 5.17, 4.446,
7.482, 4.559, 5.482, 7.194,
4.784, 4.768, 6.527, 4.818,
5.676, 5.646, 5.479, 6.689,
6.649, 4.369, 6.911, 5.091,
8.151, 7.216, 7.476, 7.275,
6.419, 5.776, 5.123, 5.536,
7.604, 5.399, 6.571, 7.528,
10.105, 6.654, 6.188, 5.804,
7.483, 5.388, 8.802, 5.592,
11.553, 9.565, 12.427, 13.441,
8.108, 5.626, 5.932, 6.163,
7.699, 6.308, 8.492, 6.771,
9.04, 7.267, 10.129, 9.497,
8.782, 5.848, 9.161, 8.583,
11.547, 7.333, 9.434, 8.019,
