ij_app, ji_app, ij_inp, ji_inp,
0.001, 0, 0, 0,
0, 0.001, 0.001, 0.001,
0.039, 0.001, 0.001, 0.002,
0.004, 0.002, 0.002, 0.002,
0.006, 0.003, 0.004, 0.004,
0.008, 0.005, 0.006, 0.007,
0.013, 0.008, 0.009, 0.01,
0.016, 0.012, 0.013, 0.013,
0.026, 0.017, 0.02, 0.017,
0.029, 0.155, 0.06, 0.021,
0.034, 0.062, 0.053, 0.046,
0.045, 0.036, 0.05, 0.092,
0.054, 0.048, 0.063, 0.062,
0.061, 0.055, 0.073, 0.073,
0.083, 0.065, 0.086, 0.085,
0.29, 0.109, 0.184, 0.104,
0.085, 0.117, 0.184, 0.311,
0.306, 0.134, 0.187, 0.23,
0.657, 0.171, 0.206, 0.209,
0.127, 0.164, 0.179, 0.174,
0.129, 0.196, 0.246, 0.247,
0.084, 0.116, 0.148, 0.146,
0.091, 0.124, 0.136, 0.166,
0.124, 0.145, 0.175, 0.162,
0.269, 0.309, 0.227, 0.19,
0.152, 0.28, 0.312, 0.167,
0.204, 0.456, 0.207, 0.198,
0.216, 0.393, 0.274, 0.216,
0.43, 0.654, 0.247, 0.243,
0.333, 0.705, 0.566, 0.597,
0.307, 0.389, 0.425, 0.389,
0.704, 1.066, 1, 0.446,
0.232, 0.602, 0.328, 0.292,
0.3, 0.621, 0.337, 0.332,
0.453, 0.657, 0.373, 0.329,
0.392, 0.686, 0.388, 0.317,
0.418, 0.744, 1.121, 0.958,
1.103, 1.654, 0.824, 0.879,
0.642, 0.823, 1.137, 0.598,
0.622, 0.772, 1.253, 0.867,
0.659, 0.724, 0.743, 0.703,
0.776, 0.959, 1.952, 2.929,
1.158, 0.919, 1.055, 0.86,
0.857, 1.07, 1.147, 0.971,
0.997, 0.98, 1.96, 3.392,
3.188, 1.336, 1.588, 1.021,
0.955, 1.042, 1.155, 1.102,
1.104, 2.317, 2.518, 1.255,
1.193, 1.227, 1.385, 1.269,
1.242, 1.212, 1.654, 1.636,
3.994, 2.749, 1.682, 1.326,
1.102, 3.641, 8.619, 6.116,
2.635, 1.669, 3.105, 1.599,
1.615, 1.458, 1.654, 1.608,
2.745, 1.724, 3.524, 4.094,
1.761, 1.843, 2.564, 1.867,
3.206, 2.29, 2.442, 1.903,
2.194, 1.757, 1.973, 1.959,
5.495, 1.796, 2.521, 2.03,
1.903, 1.852, 3.978, 2.49,
2.091, 2.376, 2.24, 1.884,
2.296, 3.584, 2.447, 2.214,
2.343, 1.971, 2.211, 3.057,
3.573, 2.298, 2.635, 2.036,
2.309, 1.882, 4.75, 2.776,
2.514, 2.171, 2.75, 3.141,
4.449, 2.393, 3.034, 2.328,
2.608, 3.652, 3.371, 2.558,
2.043, 3.645, 6.682, 8.224,
2.719, 4.259, 3.625, 2.748,
2.892, 2.718, 5.043, 3.179,
2.942, 2.667, 3.812, 4.771,
3.299, 2.969, 3.292, 5.118,
3.384, 2.924, 3.647, 3.978,
4.712, 2.893, 3.777, 5.531,
4.916, 3.112, 4.368, 3.83,
4.443, 3.098, 4.766, 3.34,
5.527, 3.392, 4.719, 4.224,
5.133, 3.988, 4.363, 5.477,
5.258, 3.507, 4.453, 6.154,
4.324, 3.712, 5.915, 4.661,
4.339, 4.052, 6.112, 4.192,
4.254, 4.989, 5.117, 4.186,
5.159, 5.531, 5.013, 4.447,
6.224, 4.052, 5.158, 7.304,
4.828, 5.085, 6.796, 5.097,
5.157, 5.135, 5.204, 5.48,
6.372, 4.21, 6.713, 6.478,
6.38, 4.749, 5.928, 5.599,
8.746, 7.374, 7.419, 6.601,
5.575, 5.466, 5.118, 4.758,
7.537, 5.802, 6.2, 6.677,
6.489, 5.251, 6.428, 5.42,
8.332, 5.183, 6.344, 7.455,
10.278, 9.276, 10.572, 8.124,
7.722, 6.162, 8.275, 4.965,
8.274, 7.016, 7.628, 6.754,
8.618, 7.631, 7.757, 7.507,
9.352, 7.165, 7.462, 6.631,
8.643, 7.042, 9.311, 6.99,
