ij_app, ji_app, ij_inp, ji_inp,
0.001, 0, 0.001, 0,
0.001, 0, 0.001, 0,
0.001, 0.001, 0.002, 0.001,
0.003, 0.022, 0.002, 0.002,
0.005, 0.003, 0.004, 0.003,
0.007, 0.005, 0.006, 0.006,
0.01, 0.008, 0.009, 0.009,
0.038, 0.011, 0.013, 0.013,
0.108, 0.014, 0.017, 0.017,
0.025, 0.023, 0.027, 0.043,
0.025, 0.082, 0.087, 0.081,
0.034, 0.029, 0.043, 0.27,
0.091, 0.166, 0.071, 0.05,
0.044, 0.042, 0.065, 0.045,
0.046, 0.047, 0.055, 0.069,
0.049, 0.055, 0.098, 0.09,
0.114, 0.087, 0.22, 0.1,
0.089, 0.225, 0.091, 0.091,
0.1, 0.322, 0.119, 0.101,
0.077, 0.129, 0.098, 0.183,
0.129, 0.175, 0.125, 0.339,
0.089, 0.163, 0.182, 0.153,
0.259, 0.167, 0.174, 0.159,
0.095, 0.33, 0.266, 0.16,
0.322, 0.489, 0.186, 0.351,
0.227, 0.479, 0.184, 0.172,
0.151, 0.533, 0.186, 0.218,
0.338, 0.399, 0.247, 0.179,
0.478, 0.496, 0.281, 0.271,
0.553, 0.718, 0.334, 0.311,
0.348, 0.502, 0.247, 0.265,
0.312, 0.612, 0.465, 0.446,
0.882, 0.789, 0.493, 0.549,
0.514, 0.473, 0.395, 0.289,
0.469, 0.669, 0.386, 0.364,
0.497, 0.629, 0.379, 0.325,
0.613, 0.562, 0.477, 0.37,
0.623, 0.505, 0.5, 0.417,
0.693, 0.88, 0.695, 0.485,
1.057, 1.992, 1.593, 0.612,
0.669, 1.011, 0.705, 0.582,
1.124, 0.735, 0.799, 0.657,
1.191, 0.771, 1.729, 0.856,
1.308, 1.696, 1.532, 0.88,
1.261, 0.946, 1.012, 0.859,
1.256, 1.165, 1.164, 1.133,
1.286, 1.33, 2.697, 1.637,
1.367, 1.068, 1.134, 0.985,
1.436, 1.228, 1.694, 1.053,
1.447, 1.475, 2.514, 1.39,
1.534, 1.351, 1.381, 1.174,
1.401, 3.644, 8.21, 6.478,
1.624, 1.327, 3.324, 1.799,
1.559, 1.469, 2.742, 2.093,
1.864, 1.846, 5.725, 2.17,
2.331, 2.492, 2.407, 1.711,
3.658, 2.138, 2.828, 1.537,
1.834, 1.681, 1.803, 2.988,
3.494, 1.74, 2.206, 1.63,
2.01, 1.836, 2.894, 4.237,
2.371, 1.813, 2.121, 1.809,
2.044, 3.248, 4.371, 2.004,
2.251, 2.076, 2.494, 4.318,
2.692, 2.097, 2.583, 1.995,
2.489, 4.707, 3.693, 2.371,
3.095, 2.435, 4.428, 2.737,
2.516, 2.332, 2.797, 2.696,
5.415, 2.605, 3.361, 2.416,
2.907, 5.462, 8.941, 8.524,
4.623, 2.906, 3.922, 4.371,
3.08, 2.809, 3.615, 4.485,
3.482, 2.69, 5.567, 4.295,
3.573, 2.807, 3.93, 2.987,
4.428, 2.937, 4.966, 3.19,
5.268, 3.275, 5.043, 3.505,
4.694, 3.376, 4.098, 3.641,
5.118, 3.887, 4.524, 3.409,
6.269, 3.432, 4.235, 3.741,
6.532, 3.607, 4.14, 5.269,
4.816, 3.429, 5.489, 6.578,
4.294, 4.026, 6.571, 4.251,
4.477, 6.029, 5.901, 4.699,
6.094, 4.278, 5.33, 5.142,
6.01, 4.669, 7.962, 7.518,
6.171, 5.88, 6.727, 5.68,
6.733, 4.941, 8.257, 5.838,
5.302, 6.449, 6.683, 6.777,
6.247, 4.843, 8.686, 5.581,
5.516, 6.013, 5.905, 6.702,
8.969, 6.247, 9.107, 7.63,
5.98, 6.158, 7.47, 5.057,
6.202, 6.663, 6.718, 7.817,
6.606, 5.589, 8.564, 7.391,
9.976, 6.379, 8.448, 7.173,
11.041, 9.332, 10.908, 9.764,
7.18, 7.817, 7.314, 6.43,
7.825, 6.015, 9.299, 6.139,
8.492, 7.79, 9.487, 6.696,
9.372, 7.53, 8.58, 6.786,
10.37, 7.234, 9.711, 8.236,
