ijk, ikj, jik, jki, kij, kji
1.667 ,3.333 ,2.500 ,3.333 ,2.500 ,5.000 ,
1.125 ,2.093 ,2.269 ,9.000 ,2.109 ,8.182 ,
1.386 ,2.228 ,2.166 ,7.396 ,2.350 ,10.163 ,
1.325 ,2.616 ,2.006 ,10.239 ,2.663 ,9.475 ,
0.659 ,1.975 ,1.391 ,11.720 ,2.571 ,10.385 ,
0.984 ,2.740 ,1.922 ,12.860 ,2.839 ,11.445 ,
1.080 ,2.775 ,1.844 ,12.233 ,2.900 ,10.568 ,
0.668 ,1.726 ,1.177 ,8.898 ,2.613 ,11.153 ,
1.060 ,2.755 ,1.669 ,6.428 ,2.358 ,11.675 ,
1.205 ,2.628 ,1.841 ,11.789 ,2.764 ,11.612 ,
1.225 ,2.466 ,1.684 ,10.230 ,2.557 ,11.825 ,
0.809 ,2.424 ,1.839 ,11.369 ,2.411 ,11.332 ,
1.215 ,2.482 ,1.787 ,11.603 ,2.474 ,11.760 ,
1.229 ,2.424 ,1.683 ,12.136 ,2.506 ,11.709 ,
1.210 ,2.421 ,1.724 ,12.592 ,2.030 ,6.850 ,
1.010 ,2.442 ,1.742 ,12.356 ,2.421 ,12.241 ,
1.107 ,2.395 ,1.647 ,12.395 ,2.315 ,11.952 ,
1.223 ,2.341 ,1.720 ,12.267 ,2.332 ,11.873 ,
1.213 ,2.084 ,1.726 ,12.184 ,2.322 ,11.915 ,
1.233 ,1.831 ,1.693 ,12.101 ,1.844 ,11.549 ,
1.225 ,1.615 ,1.724 ,10.166 ,1.630 ,11.227 ,
1.215 ,1.638 ,1.498 ,11.584 ,1.624 ,10.343 ,
1.219 ,1.559 ,1.515 ,11.609 ,1.549 ,10.889 ,
1.185 ,1.544 ,1.699 ,8.370 ,1.103 ,5.142 ,
0.558 ,1.050 ,1.207 ,8.101 ,0.823 ,3.714 ,
0.958 ,1.229 ,1.326 ,7.352 ,1.165 ,8.843 ,
0.930 ,1.112 ,1.316 ,7.967 ,1.101 ,8.432 ,
0.995 ,1.194 ,1.351 ,9.232 ,1.143 ,8.608 ,
0.951 ,1.161 ,1.311 ,9.601 ,1.212 ,9.624 ,
0.987 ,1.156 ,1.325 ,10.390 ,1.132 ,9.075 ,
0.989 ,1.262 ,1.158 ,7.395 ,0.905 ,6.972 ,
0.862 ,0.887 ,1.418 ,9.714 ,1.156 ,9.686 ,
1.074 ,1.265 ,1.296 ,10.677 ,1.201 ,8.588 ,
1.018 ,1.252 ,1.426 ,10.266 ,1.188 ,9.802 ,
1.030 ,1.195 ,1.282 ,10.783 ,1.222 ,11.302 ,
1.073 ,1.281 ,1.439 ,11.286 ,1.342 ,11.204 ,
1.124 ,1.405 ,1.538 ,12.252 ,1.411 ,10.370 ,
1.167 ,1.224 ,1.385 ,9.651 ,1.183 ,8.877 ,
1.151 ,1.297 ,1.359 ,10.328 ,1.188 ,10.670 ,
1.021 ,1.265 ,1.328 ,9.286 ,1.240 ,9.930 ,
1.026 ,1.256 ,1.556 ,11.765 ,1.387 ,11.069 ,
1.080 ,1.247 ,1.422 ,11.006 ,1.193 ,9.009 ,
0.983 ,1.355 ,1.282 ,9.708 ,1.231 ,9.117 ,
0.966 ,1.266 ,1.356 ,9.477 ,1.171 ,9.734 ,
0.966 ,1.191 ,1.354 ,10.729 ,1.308 ,10.771 ,
0.983 ,1.048 ,1.346 ,9.238 ,1.071 ,9.706 ,
0.868 ,0.691 ,0.994 ,7.965 ,0.697 ,2.427 ,
0.807 ,0.803 ,1.171 ,9.778 ,1.104 ,9.568 ,
1.023 ,1.089 ,1.258 ,8.104 ,0.843 ,6.986 ,
0.787 ,0.922 ,0.787 ,8.241 ,0.813 ,8.492 ,
0.933 ,0.980 ,1.301 ,12.793 ,1.147 ,10.916 ,
