ijk, ikj, jik, jki, kij, kji
1.667 ,2.500 ,2.500 ,3.333 ,2.500 ,3.333 ,
1.111 ,1.875 ,1.452 ,5.400 ,1.500 ,4.154 ,
0.459 ,1.070 ,0.879 ,3.511 ,1.164 ,5.252 ,
0.940 ,1.532 ,1.021 ,1.786 ,0.968 ,3.630 ,
0.776 ,0.581 ,0.916 ,2.080 ,0.953 ,5.105 ,
0.408 ,1.095 ,1.198 ,7.654 ,1.199 ,6.791 ,
0.624 ,1.107 ,1.032 ,8.986 ,1.819 ,7.824 ,
0.598 ,1.502 ,1.208 ,8.734 ,2.143 ,6.612 ,
0.671 ,2.082 ,1.478 ,8.192 ,2.441 ,9.929 ,
0.843 ,1.897 ,1.518 ,10.936 ,2.241 ,9.613 ,
0.979 ,1.260 ,1.484 ,10.943 ,1.623 ,7.696 ,
0.948 ,1.862 ,1.521 ,9.696 ,1.388 ,9.353 ,
0.683 ,1.151 ,1.007 ,10.523 ,1.953 ,11.904 ,
0.957 ,2.423 ,1.714 ,12.503 ,2.248 ,7.530 ,
1.004 ,2.234 ,1.676 ,10.820 ,2.333 ,11.935 ,
1.164 ,2.294 ,1.666 ,11.714 ,2.110 ,11.474 ,
1.095 ,2.027 ,1.453 ,9.232 ,1.688 ,9.939 ,
0.835 ,1.441 ,1.405 ,10.113 ,1.857 ,7.059 ,
0.827 ,1.687 ,1.340 ,9.042 ,1.610 ,6.395 ,
0.930 ,1.389 ,1.204 ,7.421 ,1.340 ,6.676 ,
0.836 ,1.226 ,1.181 ,7.479 ,1.105 ,7.509 ,
0.833 ,1.271 ,1.302 ,8.817 ,1.180 ,8.275 ,
0.889 ,1.141 ,1.279 ,7.005 ,1.095 ,7.313 ,
0.877 ,1.130 ,1.189 ,7.763 ,1.159 ,8.600 ,
0.904 ,1.112 ,1.271 ,8.213 ,1.062 ,8.289 ,
0.894 ,0.853 ,1.195 ,8.677 ,1.057 ,7.490 ,
0.884 ,1.089 ,1.299 ,8.301 ,1.017 ,8.431 ,
0.908 ,1.002 ,1.207 ,7.503 ,0.985 ,8.381 ,
0.774 ,1.014 ,1.242 ,9.782 ,1.036 ,8.613 ,
0.867 ,0.980 ,1.123 ,8.721 ,1.045 ,7.492 ,
0.864 ,0.990 ,1.176 ,9.261 ,0.966 ,6.604 ,
0.833 ,0.989 ,1.183 ,9.333 ,1.033 ,7.659 ,
0.867 ,0.962 ,1.126 ,8.345 ,1.034 ,8.149 ,
0.872 ,0.963 ,1.161 ,8.476 ,0.976 ,8.184 ,
0.893 ,0.972 ,1.159 ,7.678 ,0.987 ,7.866 ,
0.888 ,0.933 ,1.199 ,8.086 ,0.963 ,8.056 ,
0.858 ,1.028 ,1.124 ,9.329 ,0.993 ,7.949 ,
0.868 ,0.907 ,1.064 ,8.117 ,0.914 ,7.702 ,
0.839 ,0.858 ,1.187 ,7.593 ,0.926 ,8.320 ,
0.858 ,0.910 ,1.039 ,8.452 ,0.935 ,7.537 ,
0.834 ,0.901 ,1.108 ,9.638 ,1.056 ,8.941 ,
0.821 ,0.833 ,1.130 ,9.320 ,0.950 ,8.556 ,
0.859 ,0.916 ,1.071 ,8.112 ,0.985 ,8.439 ,
0.904 ,0.918 ,1.074 ,8.708 ,0.943 ,8.364 ,
0.855 ,0.878 ,1.057 ,8.174 ,0.930 ,7.239 ,
0.846 ,0.811 ,1.046 ,8.681 ,0.851 ,8.054 ,
0.832 ,0.811 ,1.027 ,8.396 ,0.941 ,7.798 ,
0.847 ,0.803 ,1.002 ,8.026 ,0.900 ,8.022 ,
0.821 ,0.784 ,1.003 ,9.046 ,0.863 ,8.224 ,
0.815 ,0.752 ,1.055 ,8.031 ,0.824 ,8.550 ,
0.904 ,0.753 ,1.089 ,9.530 ,0.799 ,7.193 ,
