ijk, ikj, jik, jki, kij, kji
1.429 ,1.429 ,1.667 ,3.333 ,1.429 ,2.500 ,
1.280 ,2.269 ,2.477 ,9.000 ,2.250 ,7.941 ,
1.324 ,2.404 ,2.332 ,11.792 ,2.577 ,10.331 ,
1.402 ,2.533 ,1.063 ,6.712 ,1.741 ,8.728 ,
1.302 ,2.801 ,1.634 ,8.360 ,1.906 ,9.382 ,
1.060 ,2.643 ,1.219 ,8.456 ,2.717 ,10.366 ,
1.039 ,2.517 ,1.976 ,12.540 ,2.657 ,10.124 ,
0.959 ,2.637 ,1.884 ,10.000 ,2.904 ,10.547 ,
1.130 ,2.656 ,1.865 ,10.898 ,2.832 ,10.765 ,
1.182 ,2.666 ,1.759 ,6.321 ,2.390 ,11.386 ,
1.103 ,2.484 ,1.810 ,11.678 ,2.391 ,10.711 ,
1.203 ,2.480 ,1.806 ,11.603 ,2.498 ,11.651 ,
1.157 ,2.454 ,1.758 ,11.786 ,2.521 ,11.755 ,
1.186 ,2.459 ,1.558 ,12.459 ,2.489 ,11.928 ,
1.003 ,1.936 ,1.479 ,12.023 ,1.907 ,8.336 ,
1.154 ,2.306 ,1.730 ,12.476 ,2.382 ,12.028 ,
1.215 ,2.360 ,1.741 ,12.308 ,2.274 ,11.935 ,
1.213 ,2.339 ,1.750 ,12.001 ,2.288 ,10.767 ,
1.170 ,2.312 ,1.701 ,12.081 ,2.341 ,11.611 ,
1.181 ,1.913 ,1.719 ,11.315 ,1.960 ,10.476 ,
1.233 ,1.683 ,1.708 ,10.921 ,1.647 ,11.678 ,
1.154 ,1.728 ,1.664 ,11.473 ,1.591 ,10.931 ,
1.142 ,1.510 ,1.597 ,10.963 ,1.466 ,10.577 ,
1.212 ,1.504 ,1.605 ,10.227 ,1.384 ,9.376 ,
1.132 ,1.319 ,1.682 ,11.782 ,1.286 ,9.943 ,
1.183 ,1.545 ,1.482 ,11.505 ,1.496 ,11.041 ,
1.193 ,1.451 ,1.231 ,11.292 ,1.310 ,10.820 ,
1.081 ,1.326 ,1.406 ,11.630 ,1.325 ,11.346 ,
1.200 ,1.379 ,1.570 ,11.888 ,1.398 ,10.913 ,
1.185 ,1.392 ,1.619 ,11.354 ,1.380 ,10.806 ,
1.155 ,1.243 ,1.608 ,11.856 ,1.302 ,10.914 ,
1.144 ,1.406 ,1.571 ,12.195 ,1.381 ,10.331 ,
1.010 ,1.431 ,1.627 ,11.636 ,1.399 ,11.794 ,
1.198 ,1.412 ,1.511 ,12.323 ,1.365 ,11.612 ,
1.144 ,1.319 ,1.344 ,10.100 ,1.247 ,9.385 ,
0.944 ,1.057 ,1.469 ,9.724 ,1.180 ,9.746 ,
1.062 ,1.145 ,1.295 ,10.370 ,1.260 ,10.414 ,
1.037 ,1.300 ,1.336 ,9.434 ,1.086 ,11.318 ,
1.020 ,1.118 ,1.159 ,9.238 ,1.142 ,9.491 ,
0.977 ,1.186 ,1.396 ,10.976 ,1.281 ,8.870 ,
0.996 ,1.209 ,1.346 ,9.731 ,1.194 ,10.853 ,
1.016 ,1.168 ,1.384 ,9.916 ,1.025 ,8.786 ,
1.054 ,1.219 ,1.269 ,9.929 ,1.124 ,8.688 ,
0.988 ,0.999 ,1.269 ,10.302 ,1.050 ,8.705 ,
0.981 ,1.161 ,1.311 ,10.825 ,1.172 ,8.325 ,
0.975 ,1.075 ,1.285 ,10.355 ,1.059 ,9.185 ,
1.000 ,1.183 ,1.148 ,9.464 ,1.108 ,8.846 ,
1.061 ,1.182 ,1.283 ,10.515 ,1.103 ,8.713 ,
1.072 ,1.254 ,1.411 ,10.096 ,1.153 ,10.291 ,
1.168 ,1.198 ,1.573 ,11.034 ,1.172 ,9.702 ,
1.139 ,1.118 ,1.525 ,13.780 ,1.168 ,10.792 ,
