Date,Cashflow
08/12/2023,1687.15
11/12/2023,1072.9
12/12/2023,460.5
13/12/2023,-159.35
14/12/2023,-783
15/12/2023,-1431.25
18/12/2023,-2079.75
19/12/2023,-2079.75
20/12/2023,-2079.75
21/12/2023,-2079.75
22/12/2023,-2079.75
26/12/2023,-2079.75
27/12/2023,-2079.75
28/12/2023,-2079.75
29/12/2023,-2079.75
01/01/2024,-2079.75
