Date,Order_dir,Quantity,Price
10/01/2023,BUY,1,3646.9
19/01/2023,BUY,1,3463.55
27/01/2023,BUY,1,2761.45
30/01/2023,BUY,1,2892.85
01/02/2023,BUY,1,2135.35
11/05/2023,SELL,1,1984.65
22/05/2023,SELL,1,2326.1
23/05/2023,SELL,1,2633.7
24/05/2023,SELL,1,2475.6
25/05/2023,SELL,1,2537.45
23/06/2023,BUY,1,2233.55
26/07/2023,SELL,1,2470.75
31/07/2023,SELL,1,2492.2
03/08/2023,SELL,1,2532.6
04/08/2023,SELL,1,2541.8
07/08/2023,SELL,1,2550.5
21/08/2023,SELL,1,2639.75
29/09/2023,BUY,1,2413.9
03/10/2023,BUY,1,2387.25
23/10/2023,BUY,1,2308.65
25/10/2023,BUY,1,2257
26/10/2023,BUY,1,2203.2
28/11/2023,SELL,1,2423.5
29/11/2023,SELL,1,2396.6
04/12/2023,SELL,1,2531.2
05/12/2023,SELL,1,2959.35
06/12/2023,SELL,1,2883.95
